id,name,url,note
0999700,"[Original Copy]Interp 2","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-99ee7e29-4fd6-48ca-a39b-ac538bb28c0f_processed.mp4",
0999699,"Modes of Interpretation Part 2","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-99ee7e29-4fd6-48ca-a39b-ac538bb28c0f_processed.mp4",
0999698,"Pancreatitis Background 4.16.20","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-1c4633bb-d448-3e42-be6b-6054c24d6b74_processed.mp4",
0999697,"IMG_0234","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-aaf02345-e19c-4d4c-b1f9-674c9e87c3b4_processed.mp4",
0999696,"Caleb Phillips COMM2025A08","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-8c199a08-28ad-449b-8d73-5684bb5096d9_processed.mp4",
0999689,"Section 10.5","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-58f89178-7a15-4926-a207-ec407ee3d819_processed.mp4",
0999685,"[Original Copy]Interp 1","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-619057a3-f22e-47a5-9598-3bc4bdd6de2e_processed.mp4",
0999684,"Modes of Interpretation Part 1","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-619057a3-f22e-47a5-9598-3bc4bdd6de2e_processed.mp4",
0999672,"Modes of Interpretation Part 3","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-d38af3c4-3aec-4999-9be0-84a44a7f561e_processed.mp4",
0999669,"zoom_0","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-6d11f8fe-b691-4467-823a-c6b07cbf9fee_processed.mp4",
0999668,"zoom_0","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-bf0935a9-2ef2-40a8-8942-d3f0c4067eee_processed.mp4",
0999667,"SPA111_04:14:20","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-bc73e12c-9b0b-4f6f-945d-efa9deee2ce9_processed.mp4",
0999666,"ACF Mod 9 WU","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-ec300eab-aaa2-4e68-9588-8e81d758b731_processed.mp4",
0999665,"Modes of Interpretation Part 2","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-99ee7e29-4fd6-48ca-a39b-ac538bb28c0f_processed.mp4",
0999664,"Redentore presentation","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-d8b318f2-7ee3-4170-8cd2-1879f6285f45_processed.mp4",
0999657,"Yellow Journalisn Video","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-31a11d2d-b8be-41c2-a58f-866fa57ae8d4_processed.mp4",
0999651,"Modes of Interpretation Part 1","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-619057a3-f22e-47a5-9598-3bc4bdd6de2e_processed.mp4",
0999650,"BIOL 150 Unit 10 Discussion: Aves and Mammalia","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-15a689ac-fc2b-4fa3-acc9-71ef7e2d86cf_processed.mp4",
0999644,"Week1_Tues","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-37ba8c7f-212d-4d08-acce-191e6a90b8a2_processed.mp4",
0999643,"school_vouchers-02","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-bd7a8936-330d-441b-9ee0-b4c2752e4e76_processed.mp4",
0999637,"Week1_Thurs","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-f0f06806-e393-4ba7-a7e1-f19fc1940102_processed.mp4",
0999631,"zoom_0","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-f216ea31-35dd-4a45-927c-d89bffb1cd29_processed.mp4",
